"filename", "language", "JavaScript", "YAML", "Markdown", "Ruby", "Gemfile", "JSON", "HTML", "Draw.io", "erb", "SCSS", "CSS", "comment", "blank", "total"
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220214114921_add_admin_to_users.rb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220215120728_create_items.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220221060900_create_active_storage_tables.active_storage.rb", "Ruby", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220221124900_create_purchases.rb", "Ruby", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220221124909_create_addresses.rb", "Ruby", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220315065631_create_teams.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220328083602_create_players.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/schema.rb", "Ruby", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 11, 11, 108
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/seeds.rb", "Ruby", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/tsuchiyakazuhiro/projects/original-app-36951/package.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/tsuchiyakazuhiro/projects/original-app-36951/postcss.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/tsuchiyakazuhiro/projects/original-app-36951/public/404.html", "HTML", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 6, 68
"/Users/tsuchiyakazuhiro/projects/original-app-36951/public/422.html", "HTML", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 6, 68
"/Users/tsuchiyakazuhiro/projects/original-app-36951/public/500.html", "HTML", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 6, 67
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/factories/items.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/factories/players.rb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/factories/purchase_addresses.rb", "Ruby", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/factories/teams.rb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/factories/users.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/helpers/players_helper_spec.rb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 10, 2, 16
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/models/item_spec.rb", "Ruby", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/models/player_spec.rb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/models/purchase_address_spec.rb", "Ruby", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 5, 106
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/models/team_spec.rb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/models/user_spec.rb", "Ruby", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 4, 93
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/rails_helper.rb", "Ruby", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 41, 7, 65
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/requests/players_request_spec.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/spec/spec_helper.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 82, 4, 95
"/Users/tsuchiyakazuhiro/projects/original-app-36951/test.dio", "Draw.io", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 103
"/Users/tsuchiyakazuhiro/projects/original-app-36951/test/application_system_test_case.rb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/test/channels/application_cable/connection_test.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 7, 2, 12
"/Users/tsuchiyakazuhiro/projects/original-app-36951/test/controllers/items_controller_test.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
